#
# ABINIT package : DOS file
#
# nsppol = 1, nkpt = 1012, nband(1)=   7
# Smearing technique, occopt = 3, tsmear= 0.001 Hartree, tphysel= 0.000 Hartree
# For identification : eigen(1:3)=  -0.632  -0.443  -0.442
#
# Fermi energy :      -0.26524251
#
# The DOS (in electrons/Hartree/cell) and integrated DOS (in electrons/cell),
# as well as the DOS with tsmear halved and doubled, are computed,
# at  1101 energies (in Hartree) covering the interval
# between   -0.7000 and    0.4000 Hartree by steps of 0.00100 Hartree.
#
#    #   energy        DOS       Integr. DOS        DOS           DOS
#                                               (tsmear/2)    (tsmear*2)
    0  -0.700      0.000000      0.000000         0.000         0.000
    1  -0.699      0.000000      0.000000         0.000         0.000
    2  -0.698      0.000000      0.000000         0.000         0.000
    3  -0.697      0.000000      0.000000         0.000         0.000
    4  -0.696      0.000000      0.000000         0.000         0.000
    5  -0.695      0.000000      0.000000         0.000         0.000
    6  -0.694      0.000000      0.000000         0.000         0.000
    7  -0.693      0.000000      0.000000         0.000         0.000
    8  -0.692      0.000000      0.000000         0.000         0.000
    9  -0.691      0.000000      0.000000         0.000         0.000
   10  -0.690      0.000000      0.000000         0.000         0.000
   11  -0.689      0.000000      0.000000         0.000         0.000
   12  -0.688      0.000000      0.000000         0.000         0.000
   13  -0.687      0.000000      0.000000         0.000         0.000
   14  -0.686      0.000000      0.000000         0.000         0.000
   15  -0.685      0.000000      0.000000         0.000         0.000
   16  -0.684      0.000000      0.000000         0.000         0.000
   17  -0.683      0.000000      0.000000         0.000         0.000
   18  -0.682      0.000000      0.000000         0.000         0.000
   19  -0.681      0.000000      0.000000         0.000         0.000
   20  -0.680      0.000000      0.000000         0.000         0.000
   21  -0.679      0.000000      0.000000         0.000         0.000
   22  -0.678      0.000000      0.000000         0.000         0.000
   23  -0.677      0.000000      0.000000         0.000         0.000
   24  -0.676      0.000000      0.000000         0.000         0.000
   25  -0.675      0.000000      0.000000         0.000         0.000
   26  -0.674      0.000000      0.000000         0.000         0.000
   27  -0.673      0.000000      0.000000         0.000         0.000
   28  -0.672      0.000000      0.000000         0.000         0.000
   29  -0.671      0.000000      0.000000         0.000         0.000
   30  -0.670      0.000000      0.000000         0.000         0.000
   31  -0.669      0.000000      0.000000         0.000         0.000
   32  -0.668      0.000000      0.000000         0.000         0.000
   33  -0.667      0.000000      0.000000         0.000         0.000
   34  -0.666      0.000000      0.000000         0.000         0.000
   35  -0.665      0.000000      0.000000         0.000         0.000
   36  -0.664      0.000000      0.000000         0.000         0.000
   37  -0.663      0.000000      0.000000         0.000         0.000
   38  -0.662      0.000000      0.000000         0.000         0.000
   39  -0.661      0.000000      0.000000         0.000         0.000
   40  -0.660      0.000000      0.000000         0.000         0.000
   41  -0.659      0.000000      0.000000         0.000         0.000
   42  -0.658      0.000000      0.000000         0.000         0.000
   43  -0.657      0.000000      0.000000         0.000         0.000
   44  -0.656      0.000000      0.000000         0.000         0.000
   45  -0.655      0.000000      0.000000         0.000         0.000
   46  -0.654      0.000000      0.000000         0.000         0.000
   47  -0.653      0.000000      0.000000         0.000         0.000
   48  -0.652      0.000000      0.000000         0.000         0.000
   49  -0.651      0.000000      0.000000         0.000         0.000
   50  -0.650      0.000000      0.000000         0.000         0.000
   51  -0.649      0.000000      0.000000         0.000         0.000
   52  -0.648      0.000000      0.000000         0.000         0.000
   53  -0.647      0.000000      0.000000         0.000         0.000
   54  -0.646      0.000000      0.000000         0.000         0.000
   55  -0.645      0.000001      0.000000         0.000         0.001
   56  -0.644      0.000003      0.000000         0.000         0.001
   57  -0.643      0.000008      0.000000         0.000         0.002
   58  -0.642      0.000020      0.000000         0.000         0.004
   59  -0.641      0.000056      0.000000         0.000         0.006
   60  -0.640      0.000151      0.000000         0.000         0.010
   61  -0.639      0.000410      0.000000         0.000         0.016
   62  -0.638      0.001114      0.000001         0.000         0.026
   63  -0.637      0.003015      0.000003         0.000         0.041
   64  -0.636      0.008105      0.000008         0.000         0.066
   65  -0.635      0.021389      0.000022         0.001         0.102
   66  -0.634      0.053898      0.000057         0.008         0.153
   67  -0.633      0.122683      0.000142         0.052         0.221
   68  -0.632      0.235972      0.000318         0.207         0.306
   69  -0.631      0.379850      0.000624         0.344         0.402
   70  -0.630      0.521952      0.001077         0.646         0.503
   71  -0.629      0.627698      0.001655         0.597         0.605
   72  -0.628      0.721235      0.002329         0.720         0.703
   73  -0.627      0.829510      0.003102         0.794         0.797
   74  -0.626      0.945711      0.003991         0.956         0.883
   75  -0.625      1.025109      0.004982         1.246         0.960
   76  -0.624      1.023874      0.006012         0.976         1.032
   77  -0.623      1.030394      0.007032         0.845         1.103
   78  -0.622      1.152709      0.008114         1.010         1.176
   79  -0.621      1.338045      0.009360         1.447         1.246
   80  -0.620      1.450593      0.010765         1.783         1.307
   81  -0.619      1.392561      0.012201         1.476         1.356
   82  -0.618      1.287492      0.013533         0.973         1.401
   83  -0.617      1.343478      0.014833         1.128         1.454
   84  -0.616      1.512866      0.016259         1.635         1.517
   85  -0.615      1.649893      0.017847         1.821         1.582
   86  -0.614      1.689858      0.019525         1.711         1.644
   87  -0.613      1.705481      0.021218         1.578         1.698
   88  -0.612      1.788529      0.022961         1.727         1.745
   89  -0.611      1.868382      0.024794         2.066         1.784
