# nkptgw: 16  neig: 180
# E(DFT) E(GW)
-19.472 -27.101
-18.993 -25.122
-16.901 -23.256
-14.915 -20.983
-14.042 -20.934
-11.794 -18.497
-11.406 -13.204
-11.192 -18.400
-10.351 -11.915
-10.273 -12.046
-10.264 -11.986
-9.902 -11.687
-9.887 -11.663
-9.524 -16.146
-9.462 -16.695
-9.223 -10.793
-9.218 -10.750
-8.863 -10.454
-8.852 -10.467
-8.811 -10.661
-8.782 -10.679
-8.771 -10.619
-8.763 -10.680
-8.742 -10.625
-8.627 -15.376
-8.225 -15.616
-7.761 -9.425
-7.738 -9.428
-7.735 -9.410
-7.726 -9.383
-7.676 -9.386
-7.650 -9.332
-7.335 -9.097
-7.296 -9.079
-7.151 -13.930
-6.924 -8.915
-19.472 -27.102
-18.993 -25.121
-16.901 -23.256
-14.915 -20.983
-14.042 -20.939
-11.794 -18.497
-11.311 -13.100
-11.192 -18.392
-10.555 -12.297
-10.256 -11.804
-10.178 -11.961
-10.170 -11.902
-9.526 -15.601
-9.502 -11.568
-9.462 -16.529
-9.427 -11.314
-9.420 -11.208
-9.130 -10.708
-9.121 -10.672
-9.048 -10.879
-8.727 -10.963
-8.628 -15.110
-8.381 -10.043
-8.374 -9.991
-8.225 -15.527
-8.009 -9.675
-7.971 -9.752
-7.936 -9.870
-7.922 -9.794
-7.600 -9.342
-7.589 -9.332
-7.152 -13.954
-6.911 -8.654
-6.897 -8.623
-6.867 -8.791
-6.851 -8.788
-19.472 -27.100
-18.993 -25.122
-16.901 -23.253
-14.915 -20.983
-14.042 -20.939
-11.794 -18.497
-11.193 -18.391
-11.034 -12.784
-11.020 -12.748
-9.986 -11.527
-9.969 -11.503
-9.909 -11.710
-9.895 -11.682
-9.879 -11.607
-9.875 -11.644
-9.523 -16.149
-9.462 -16.695
-8.864 -10.483
-8.856 -10.443
-8.836 -10.482
-8.827 -10.379
-8.639 -15.472
-8.453 -10.209
-8.409 -10.279
-8.224 -15.581
-8.040 -9.976
-8.015 -9.929
-7.340 -9.093
-7.337 -9.107
-7.312 -9.089
-7.293 -9.050
-7.150 -13.913
-7.009 -8.730
-6.974 -8.683
-6.939 -8.966
-6.924 -8.901
-19.472 -27.102
-18.993 -25.121
-16.901 -23.256
-14.915 -20.983
-14.042 -20.939
-11.794 -18.497
-11.311 -13.100
-11.192 -18.392
-10.555 -12.297
-10.256 -11.804
-10.178 -11.961
-10.170 -11.903
-9.526 -15.601
-9.502 -11.568
-9.462 -16.529
-9.427 -11.314
-9.420 -11.208
-9.130 -10.708
-9.121 -10.672
-9.048 -10.879
-8.727 -10.963
-8.628 -15.110
-8.381 -10.043
-8.374 -9.991
-8.225 -15.527
-8.009 -9.675
-7.971 -9.752
-7.936 -9.870
-7.922 -9.794
-7.600 -9.342
-7.589 -9.332
-7.152 -13.954
-6.911 -8.654
-6.897 -8.623
-6.867 -8.791
-6.851 -8.788
-19.472 -27.101
-18.993 -25.122
-16.901 -23.256
-14.915 -20.983
-14.042 -20.938
-11.794 -18.497
-11.335 -13.127
-11.192 -18.395
-10.764 -12.489
-10.278 -11.823
-9.834 -11.630
-9.818 -11.602
-9.710 -11.238
-9.634 -11.423
-9.523 -16.139
-9.462 -16.693
-9.268 -11.092
-9.250 -11.062
-8.792 -10.384
-8.781 -10.420
-8.736 -10.991
-8.631 -14.375
-8.577 -10.687
-8.243 -12.019
-8.227 -10.459
-8.208 -12.347
-8.158 -9.998
-8.141 -9.987
-8.129 -9.992
-7.955 -9.865
-7.268 -9.034
-7.241 -9.062
-7.152 -13.830
-7.120 -8.820
-7.107 -8.840
-7.038 -8.805
-19.472 -27.100
-18.993 -25.126
-16.901 -23.255
-14.915 -20.983
-14.042 -20.938
-11.794 -18.497
-11.241 -13.054
-11.192 -18.335
-10.670 -12.403
-10.484 -12.229
-10.183 -11.712
-9.917 -11.696
-9.619 -11.168
-9.542 -11.437
-9.523 -15.969
-9.463 -16.555
-9.427 -11.088
-8.983 -10.833
-8.869 -10.461
-8.794 -10.661
-8.674 -12.543
-8.614 -13.206
-8.491 -10.172
-8.418 -10.293
