# nkptgw: 4  neig: 160 
# E(DFT) E(GW)
-19.302 -22.908
-18.814 -22.312
-16.731 -20.093
-14.752 -18.118
-13.871 -16.949
-11.629 -14.494
-11.384 -11.603
-11.023 -13.863
-10.398 -10.666
-10.251 -10.527
-10.243 -10.520
-9.879 -10.164
-9.865 -10.142
-9.358 -11.889
-9.294 -12.031
-9.286 -9.601
-9.255 -9.574
-8.908 -9.249
-8.887 -9.233
-8.878 -9.267
-8.760 -9.082
-8.749 -9.076
-8.742 -9.060
-8.735 -9.051
-8.452 -10.820
-8.047 -10.698
-7.857 -8.256
-7.797 -8.167
-7.769 -8.137
-7.766 -8.136
-7.756 -8.136
-7.719 -8.135
-7.409 -7.848
-7.369 -7.809
-6.991 -9.309
-6.901 -7.265
-6.894 -7.261
-6.815 -7.277
-6.653 -8.781
-6.377 -6.829
-6.360 -8.432
-6.280 -6.719
-6.254 -6.695
-6.247 -6.688
-5.965 -6.368
-5.939 -6.332
-5.889 -7.709
-5.778 -6.232
-5.764 -7.581
-5.592 -6.047
-5.466 -5.813
-5.457 -5.805
-5.451 -5.797
-5.427 -5.775
-5.419 -5.760
-5.415 -5.756
-5.312 -5.756
-5.237 -5.683
-4.745 -5.190
-4.605 -6.404
-4.583 -6.098
-4.531 -4.924
-4.525 -4.921
-4.510 -4.907
-4.498 -4.869
-4.480 -4.851
-4.478 -4.845
-4.464 -4.870
-4.379 -4.751
-4.371 -4.711
-4.363 -4.705
-4.332 -4.669
-4.313 -4.677
-4.175 -4.587
-4.145 -4.555
-4.135 -4.558
-4.121 -4.527
-3.607 -4.010
-3.465 -3.824
-3.434 -3.802
-3.409 -3.754
-3.388 -3.724
-3.226 -3.608
-3.214 -3.596
-3.179 -3.564
-3.117 -3.503
-2.887 -3.257
-2.835 -3.595
-2.813 -3.175
-2.701 -3.011
-2.678 -2.984
-2.674 -2.970
-2.627 -3.979
-2.490 -2.823
-2.487 -2.821
-2.292 -2.622
-2.201 -2.516
-2.142 -2.472
-1.855 -2.151
-1.758 -2.055
-1.692 -1.980
-1.670 -1.918
-1.655 -1.892
-1.574 -1.859
-1.517 -1.749
-1.500 -1.734
-1.235 -1.466
-1.229 -1.456
-1.118 -1.343
-1.095 -1.324
-1.059 -0.528
-1.023 -0.499
-0.984 -0.465
-0.893 -0.374
-0.839 2.239
-0.786 -0.255
-0.738 -0.210
-0.716 -0.174
-0.705 -0.165
-0.696 -0.160
-0.439 0.092
-0.325 0.221
-0.293 0.270
-0.222 0.333
-0.195 0.352
-0.126 0.455
-0.100 0.480
-0.079 0.505
-0.072 0.514
-0.055 0.520
-0.036 0.538
0.115 0.681
0.141 0.730
0.278 0.876
0.329 0.927
0.404 0.995
0.423 1.021
0.504 1.118
0.727 1.343
0.781 1.406
0.841 1.470
0.869 1.501
0.975 1.611
1.047 1.678
1.084 1.724
1.128 1.768
1.192 1.833
1.239 1.875
1.289 1.889
1.304 1.918
1.338 1.965
1.346 1.974
1.379 2.011
1.424 1.984
1.603 2.245
1.628 2.269
1.659 2.303
1.706 2.350
1.707 2.356
1.711 2.361
-19.302 -22.909
-18.814 -22.313
-16.731 -20.093
-14.752 -18.118
-13.871 -16.949
-11.629 -14.493
-11.023 -13.862
-11.021 -11.249
-10.988 -11.223
-10.034 -10.321
-10.010 -10.296
-9.895 -10.172
-9.877 -10.156
-9.861 -10.142
-9.845 -10.128
-9.358 -11.888
-9.294 -12.032
-8.936 -9.267
-8.892 -9.221
-8.882 -9.213
-8.872 -9.202
-8.540 -8.950
-8.473 -8.893
-8.452 -10.820
-8.047 -10.698
-8.017 -8.359
-7.996 -8.339
-7.512 -7.949
-7.370 -7.798
-7.363 -7.794
-7.344 -7.776
-7.049 -7.438
-7.037 -7.429
-6.990 -9.308
-6.914 -7.269
-6.904 -7.260
-6.892 -7.245
-6.882 -7.238
-6.655 -8.785
-6.580 -6.989
-6.550 -6.908
-6.517 -6.884
-6.514 -6.869
-6.503 -6.897
-6.361 -8.432
-6.322 -6.782
-5.977 -6.382
-5.960 -6.354
-5.932 -6.326
-5.912 -6.307
-5.889 -7.709
-5.763 -7.580
-5.703 -6.144
-5.598 -5.997
-5.572 -5.963
-5.569 -5.962
-5.544 -5.956
-5.533 -5.958
-5.403 -5.847
-5.244 -5.694
-5.225 -5.673
-5.199 -5.642
-4.625 -5.057
-4.607 -6.418
-4.583 -6.088
-4.480 -4.890
-4.450 -4.858
-4.433 -4.842
-4.275 -4.698
-4.146 -4.552
-4.106 -4.505
-4.103 -4.502
-3.987 -4.406
-3.794 -4.217
-3.666 -3.968
-3.658 -3.964
-3.645 -3.949
-3.631 -3.929
-3.518 -3.903
-3.498 -3.884
-3.205 -3.609
-2.835 -3.594
-2.832 -3.207
-2.775 -3.124
-2.756 -3.095
-2.746 -3.095
-2.733 -3.071
-2.708 -3.061
-2.691 -3.021
-2.628 -3.980
-2.516 -2.850
-2.497 -2.818
-2.440 -2.764
-2.432 -2.750
-2.211 -2.498
-2.192 -2.454
-2.101 -2.421
-1.952 -2.242
-1.837 -2.109
-1.821 -2.086
-1.766 -2.063
-1.366 -1.629
-1.255 -1.490
-1.247 -1.484
-1.230 -1.455
-1.226 -1.451
-1.215 -1.436
-1.193 -1.414
-1.147 -1.355
-1.106 -1.307
-1.087 -0.549
-1.066 -0.524
-1.059 -0.524
-1.046 -0.505
-1.034 -0.495
-1.011 -0.486
-0.924 -0.398
-0.844 -0.299
-0.839 2.226
-0.688 -0.187
-0.415 0.120
-0.378 0.169
-0.300 0.261
-0.268 0.297
-0.229 0.332
-0.187 0.371
-0.068 0.497
-0.057 0.519
-0.038 0.537
-0.021 0.544
0.031 0.587
0.121 0.709
0.168 0.728
0.212 0.791
0.259 0.870
0.278 0.886
0.294 0.899
0.349 0.956
0.363 0.961
0.422 1.004
0.470 1.065
0.476 1.067
0.794 1.410
0.839 1.453
0.844 1.461
0.878 1.496
1.007 1.646
1.072 1.719
1.099 1.745
1.116 1.762
