# nkptgw: 4  neig: 145 
# E(DFT) E(GW)
-20.567 -22.546
-20.157 -23.295
-17.834 -20.308
-15.729 -18.170
-14.985 -17.108
-12.649 -14.575
-12.133 -13.840
-10.908 -10.617
-10.447 -11.869
-10.400 -11.882
-9.929 -9.711
-9.781 -9.653
-9.766 -9.574
-9.714 -10.800
-9.405 -9.296
-9.389 -9.252
-9.365 -10.711
-8.816 -8.673
-8.782 -8.636
-8.445 -8.351
-8.416 -8.312
-8.404 -8.311
-8.285 -8.186
-8.273 -8.175
-8.268 -8.167
-8.258 -8.157
-7.964 -9.488
-7.674 -8.745
-7.611 -8.096
-7.400 -8.639
-7.325 -7.285
-7.297 -7.263
-7.291 -7.248
-7.285 -7.281
-7.263 -7.399
-7.245 -7.330
-6.936 -7.070
-6.896 -6.920
-6.850 -7.756
-6.445 -6.775
-6.425 -6.426
-6.403 -6.521
-6.205 -6.595
-5.859 -5.974
-5.807 -5.871
-5.782 -5.851
-5.774 -5.841
-5.562 -6.621
-5.489 -5.540
-5.461 -5.505
-5.277 -5.407
-5.124 -5.230
-4.990 -5.012
-4.981 -5.003
-4.974 -4.993
-4.953 -4.985
-4.943 -4.961
-4.938 -4.960
-4.844 -4.986
-4.770 -4.880
-4.595 -5.245
-4.172 -4.329
-4.055 -4.137
-4.042 -4.131
-4.036 -4.124
-4.024 -4.088
-4.005 -4.073
-4.004 -4.068
-3.985 -4.080
-3.898 -3.943
-3.894 -3.956
-3.882 -3.939
-3.857 -3.905
-3.826 -3.911
-3.708 -3.824
-3.679 -3.793
-3.672 -3.797
-3.656 -3.769
-3.583 -4.250
-3.089 -3.202
-2.992 -3.083
-2.951 -3.040
-2.929 -3.020
-2.914 -2.987
-2.752 -2.866
-2.742 -2.853
-2.698 -2.818
-2.656 -2.781
-2.411 -2.551
-2.361 -2.484
-2.245 -2.374
-2.213 -2.300
-2.204 -2.277
-2.157 -2.457
-2.025 -2.124
-1.988 -2.099
-1.773 -1.860
-1.730 -1.816
-1.545 -1.636
-1.409 -1.508
-1.293 -1.389
-1.240 -1.340
-1.199 -1.255
-1.186 -1.231
-1.068 -1.172
-1.041 -1.078
-1.024 -1.068
-0.759 -0.792
-0.754 -0.786
-0.666 -0.740
-0.590 -0.384
-0.562 -0.376
-0.535 -0.361
-0.514 -0.332
-0.397 -0.221
-0.303 -0.106
-0.253 -0.063
-0.235 -0.036
-0.231 -0.039
-0.216 -0.028
0.057 0.209
0.133 0.313
0.178 0.383
0.224 0.409
0.276 0.426
0.343 0.567
0.381 0.591
0.385 0.596
0.398 0.626
0.406 0.624
0.427 0.638
0.555 0.735
0.659 0.878
0.763 0.955
0.813 1.016
0.867 1.073
0.884 1.096
0.963 1.172
1.202 1.433
1.224 1.498
1.294 1.517
1.318 1.556
1.407 2.584
1.465 1.895
1.518 2.049
-20.567 -22.555
-20.157 -23.286
-17.834 -20.303
-15.729 -18.170
-14.985 -17.102
-12.649 -14.575
-12.133 -13.839
-10.545 -10.295
-10.513 -10.258
-10.447 -11.858
-10.398 -11.867
-9.730 -10.868
-9.552 -9.398
-9.538 -9.337
-9.418 -9.249
-9.399 -9.226
-9.386 -9.256
-9.374 -9.589
-9.362 -10.257
-8.476 -8.368
-8.420 -8.296
-8.410 -8.286
-8.398 -8.280
-8.086 -8.068
-8.001 -7.959
-7.963 -9.487
-7.673 -8.765
-7.547 -7.805
-7.540 -7.492
-7.489 -7.819
-7.398 -8.637
-6.995 -7.161
-6.916 -7.135
-6.890 -6.909
-6.877 -6.948
-6.836 -7.504
-6.576 -6.582
