# nkptgw: 4  neig: 175 
# E(DFT) E(GW)
-20.567 -22.651
-20.157 -23.357
-17.834 -20.415
-15.729 -18.282
-14.985 -17.238
-12.649 -14.726
-12.133 -14.004
-10.908 -10.758
-10.447 -12.062
-10.400 -12.070
-9.929 -9.857
-9.781 -9.811
-9.766 -9.732
-9.714 -10.986
-9.405 -9.455
-9.389 -9.411
-9.365 -10.890
-8.816 -8.842
-8.782 -8.805
-8.445 -8.518
-8.416 -8.480
-8.404 -8.480
-8.285 -8.366
-8.273 -8.354
-8.268 -8.346
-8.258 -8.336
-7.964 -9.681
-7.674 -8.963
-7.611 -8.299
-7.400 -8.853
-7.325 -7.476
-7.297 -7.453
-7.291 -7.439
-7.285 -7.474
-7.263 -7.595
-7.245 -7.523
-6.936 -7.266
-6.896 -7.113
-6.850 -7.975
-6.445 -6.984
-6.425 -6.641
-6.403 -6.735
-6.205 -6.805
-5.859 -6.194
-5.807 -6.089
-5.782 -6.067
-5.774 -6.058
-5.562 -6.847
-5.489 -5.763
-5.461 -5.731
-5.277 -5.636
-5.124 -5.459
-4.990 -5.255
-4.981 -5.243
-4.974 -5.240
-4.953 -5.230
-4.943 -5.209
-4.938 -5.203
-4.844 -5.222
-4.770 -5.115
-4.595 -5.485
-4.172 -4.577
-4.055 -4.387
-4.042 -4.389
-4.036 -4.366
-4.024 -4.341
-4.005 -4.324
-4.004 -4.309
-3.985 -4.337
-3.898 -4.198
-3.894 -4.210
-3.882 -4.193
-3.857 -4.159
-3.826 -4.167
-3.708 -4.079
-3.679 -4.048
-3.672 -4.055
-3.656 -4.025
-3.583 -4.493
-3.089 -3.473
-2.992 -3.357
-2.951 -3.308
-2.929 -3.291
-2.914 -3.254
-2.752 -3.145
-2.742 -3.135
-2.698 -3.092
-2.656 -3.050
-2.411 -2.824
-2.361 -2.756
-2.245 -2.655
-2.213 -2.580
-2.204 -2.565
-2.157 -2.738
-2.025 -2.416
-1.988 -2.393
-1.773 -2.155
-1.730 -2.108
-1.545 -1.933
-1.409 -1.802
-1.293 -1.677
-1.240 -1.628
-1.199 -1.558
-1.186 -1.535
-1.068 -1.458
-1.041 -1.384
-1.024 -1.372
-0.759 -1.105
-0.754 -1.100
-0.666 -1.040
-0.590 -0.940
-0.562 -0.922
-0.535 -0.900
-0.514 -0.867
-0.397 -0.755
-0.303 -0.655
-0.253 -0.617
-0.235 -0.336
-0.231 -0.339
-0.216 -0.325
0.057 -0.076
0.133 0.007
0.178 0.066
0.224 0.102
0.276 0.138
0.343 0.259
0.381 0.286
0.385 0.291
0.398 0.315
0.406 0.314
0.427 0.331
0.555 0.436
0.659 0.580
0.763 0.651
0.813 0.721
0.867 0.763
0.884 0.787
0.963 0.869
1.202 1.126
1.224 1.195
1.294 1.209
1.318 1.247
1.407 2.297
1.465 1.588
1.518 1.747
1.553 1.485
1.606 1.557
1.626 1.583
1.670 1.617
1.702 1.629
1.746 1.659
1.790 1.755
1.799 1.707
1.825 1.755
1.843 1.987
1.976 2.422
2.055 2.051
2.077 2.052
2.097 2.282
2.144 2.190
2.162 2.090
2.169 2.092
2.177 2.160
2.220 2.256
2.437 2.446
2.585 2.502
2.596 2.600
2.691 2.649
2.743 2.682
2.754 2.695
2.763 2.701
2.786 2.729
2.908 2.838
2.969 2.909
3.102 3.057
-20.567 -22.663
-20.157 -23.355
-17.834 -20.410
-15.729 -18.283
-14.985 -17.233
-12.649 -14.726
-12.133 -14.003
-10.545 -10.438
-10.513 -10.404
-10.447 -12.050
-10.398 -12.054
-9.730 -11.054
-9.552 -9.551
-9.538 -9.490
-9.418 -9.409
-9.399 -9.387
-9.386 -9.422
-9.374 -9.753
-9.362 -10.426
-8.476 -8.540
-8.420 -8.469
-8.410 -8.460
-8.398 -8.453
-8.086 -8.241
-8.001 -8.133
-7.963 -9.680
-7.673 -8.983
-7.547 -8.005
-7.540 -7.683
-7.489 -8.021
-7.398 -8.853
-6.995 -7.361
-6.916 -7.332
-6.890 -7.108
-6.877 -7.146
-6.836 -7.716
-6.576 -6.772
-6.566 -6.799
-6.440 -6.639
-6.434 -6.718
-6.420 -6.634
-6.405 -6.601
-6.332 -7.091
-6.080 -6.308
-6.060 -6.290
-6.040 -6.261
-6.037 -6.263
-5.958 -6.358
-5.855 -6.154
-5.565 -6.837
-5.494 -5.764
-5.485 -5.760
-5.458 -5.720
-5.437 -5.698
-5.213 -5.561
-5.121 -5.409
-5.099 -5.379
-5.096 -5.377
-5.072 -5.372
-5.062 -5.368
-4.929 -5.297
-4.775 -5.121
-4.756 -5.106
-4.733 -5.082
-4.561 -5.483
-4.082 -4.469
-4.010 -4.363
-3.980 -4.330
-3.959 -4.311
-3.767 -4.141
-3.666 -4.029
-3.635 -4.000
-3.630 -3.996
